ID,Subject,Test,Matching To Sample,Running Memory,Simple Reaction Time
187,C1G0002,22,1502,504,227
188,C1G0002,23,1466,501,248
189,C1G0002,24,1456,479,257
190,C1G0002,25,1133,516,263
191,C1G0002,26,1138,475,234
192,C1G0002,27,1431,433,202
193,C1G0002,28,1466,446,228
194,C1G0002,29,1234,492,242
195,C1G0002,30,1478,483,220
196,C1G0002,31,2896,519,556
197,C1G0002,32,1468,437,225
198,C1G0002,33,1230,445,244
199,C1G0002,34,1172,478,224
200,C1G0002,35,1403,490,251
201,C1G0002,36,1485,469,235
202,C1G0002,37,1133,461,306
203,C1G0002,38,1397,471,222
204,C1G0002,39,1092,471,222
205,C1G0002,40,1234,434,228
206,C1G0002,41,1612,488,239
207,C1G0002,42,1018,467,216
208,C1G0002,43,1316,447,227
209,C1G0002,44,1312,469,233
210,C1G0002,45,1173,473,223
211,C1G0002,46,1105,435,242
212,C1G0002,47,1417,457,236
213,C1G0002,48,1526,459,246
214,C1G0002,49,1489,419,236
215,C1G0002,50,1401,394,236
216,C1G0002,51,1367,436,243
217,C1G0002,52,1456,444,245
218,C1G0002,53,1281,465,344
219,C1G0002,54,1146,424,235
220,C1G0002,55,1312,426,225
221,C1G0002,56,1454,480,259
222,C1G0002,57,1499,450,237
223,C1G0002,58,1288,467,233
224,C1G0002,59,1342,466,200
225,C1G0002,60,950,420,174
226,C1G0002,61,1372,462,204
227,C1G0002,62,1133,470,275
228,C1G0002,63,1096,449,230
229,C1G0002,64,1805,456,199
230,C1G0002,65,928,426,217
231,C1G0002,66,1081,401,183
232,C1G0002,67,1037,417,195
233,C1G0002,68,1308,441,185
234,C1G0002,69,1078,424,184
235,C1G0002,70,1235,451,192
236,C1G0002,71,1197,448,228
237,C1G0002,72,1315,454,203
238,C1G0002,73,1192,466,202
239,C1G0002,74,1246,447,203
240,C1G0002,75,1384,460,195
241,C1G0002,76,1060,430,194
242,C1G0002,77,1212,468,249
243,C1G0002,78,1122,419,229
244,C1G0002,79,1252,465,223
245,C1G0002,80,1193,477,278
246,C1G0002,81,1321,465,259
247,C1G0002,82,1312,450,218
248,C1G0002,83,1253,459,254
249,C1G0002,84,1414,501,249
250,C1G0002,85,933,455,206
251,C1G0002,86,946,448,262
252,C1G0002,87,1414,437,212
253,C1G0002,88,1470,437,218
254,C1G0002,89,1546,445,216
255,C1G0002,90,1111,467,339
256,C1G0002,91,1456,432,229
257,C1G0002,92,1372,438,204
258,C1G0002,93,1331,468,238
259,C1G0002,94,1578,441,204
260,C1G0002,95,1329,443,259
261,C1G0002,96,1325,439,226
262,C1G0002,97,1260,432,312
263,C1G0002,98,1149,448,230
264,C1G0002,99,1293,492,259
265,C1G0002,100,1426,442,242
266,C1G0002,101,1160,470,268
267,C1G0002,102,1142,414,219
268,C1G0002,103,1005,373,231
269,C1G0002,104,1245,468,262
270,C1G0002,105,1278,433,210
271,C1G0002,106,1474,402,193
272,C1G0002,107,1550,437,233
273,C1G0002,108,1040,424,231
274,C1G0002,109,1312,414,213
275,C1G0002,110,1210,434,229
276,C1G0002,111,1351,451,214
277,C1G0002,112,1688,451,230
278,C1G0002,113,1113,452,216
279,C1G0002,114,1463,462,237
280,C1G0002,115,1097,422,202
281,C1G0002,116,1101,455,246
282,C1G0002,117,1155,444,215
283,C1G0002,118,1430,442,208
284,C1G0002,119,1116,452,214
285,C1G0002,120,1454,465,224
286,C1G0002,121,1065,441,236
287,C1G0002,122,981,475,222
288,C1G0002,123,1332,449,224
289,C1G0002,124,1726,468,255
290,C1G0002,125,1364,429,226
291,C1G0002,126,1016,475,231
292,C1G0002,127,1331,426,238
293,C1G0002,128,1696,459,210
294,C1G0002,129,1093,479,208
295,C1G0002,130,1281,491,270
296,C1G0002,131,1221,409,242
297,C1G0002,132,1482,439,226
298,C1G0002,133,1192,462,225
299,C1G0002,134,1502,469,233
300,C1G0002,135,1374,436,221
301,C1G0002,136,1253,437,259
302,C1G0002,137,852,456,251
303,C1G0002,138,1224,430,242
304,C1G0002,139,1304,469,255
305,C1G0002,140,1300,459,248
306,C1G0002,141,1391,456,244
307,C1G0002,142,1525,461,257
308,C1G0002,143,1155,464,224
309,C1G0002,144,2035,433,227
310,C1G0002,145,1421,462,210
311,C1G0002,146,1562,439,235
312,C1G0002,147,1480,447,235
313,C1G0002,148,1485,421,262
314,C1G0002,149,1333,443,226
315,C1G0002,150,1181,443,224
316,C1G0002,151,1072,470,196
317,C1G0002,152,1333,437,275
318,C1G0002,153,1201,467,241
319,C1G0002,154,1163,447,282
320,C1G0002,155,1316,471,243
321,C1G0002,156,1572,417,250
322,C1G0002,157,1067,463,245
323,C1G0002,158,1550,415,305
324,C1G0002,159,1129,483,224
325,C1G0002,160,1495,427,209
326,C1G0002,161,1168,443,228
327,C1G0002,162,1188,421,252
328,C1G0002,163,1232,416,219
329,C1G0003,1,2339,505,255
330,C1G0003,2,1830,492,227
331,C1G0003,3,1804,476,238
332,C1G0003,4,1442,447,268
333,C1G0003,5,1598,460,222
334,C1G0003,6,1848,485,240
335,C1G0003,7,1604,447,232
336,C1G0003,8,2050,468,253
337,C1G0003,9,2585,438,230
338,C1G0003,10,2260,478,260
339,C1G0003,11,2307,427,236
340,C1G0003,12,1905,435,254
341,C1G0003,13,2399,467,248
342,C1G0003,14,1964,430,231
343,C1G0003,15,1984,418,237
344,C1G0003,16,1984,452,249
345,C1G0003,17,1650,460,215
346,C1G0003,18,1397,419,220
347,C1G0003,19,2382,464,237
348,C1G0003,20,1786,392,217
349,C1G0003,21,1696,411,221
350,C1G0003,22,2207,431,273
351,C1G0003,23,1821,424,192
352,C1G0003,24,1907,406,197
353,C1G0003,25,2331,412,203
354,C1G0003,26,1814,394,214
355,C1G0003,27,2297,444,228
356,C1G0003,28,2186,398,170
357,C1G0003,29,4755,527,224
358,C1G0003,30,1654,407,162
359,C1G0003,31,2094,476,201
360,C1G0003,32,3645,504,210
361,C1G0003,33,1959,402,190
362,C1G0003,34,1428,401,216
363,C1G0003,35,2204,449,216
364,C1G0003,36,1906,373,201
365,C1G0003,37,1714,395,397
366,C1G0003,38,1261,405,173
367,C1G0003,39,5776,415,211
368,C1G0003,40,1567,455,208
369,C1G0003,41,2104,546,217
370,C1G0003,42,1282,429,208
371,C1G0003,43,1973,533,256
372,C1G0003,44,1692,454,207
373,C1G0003,45,1708,481,410
374,C1G0003,46,1815,469,214
375,C1G0003,47,2893,436,241
376,C1G0003,48,3060,657,572
377,C1G0003,49,4847,465,209
378,C1G0003,50,1548,423,195
379,C1G0003,51,2536,467,221
380,C1G0003,52,2358,444,208
381,C1G0003,53,2364,540,223
382,C1G0003,54,1388,353,186
383,C1G0003,55,1165,405,191
384,C1G0003,56,1776,384,187
385,C1G0003,57,1243,386,189
386,C1G0003,58,1529,393,172
387,C1G0003,59,1068,405,196
388,C1G0003,60,1503,418,201
389,C1G0003,61,1335,460,234
390,C1G0003,62,2537,594,427
391,C1G0003,63,1749,454,192
392,C1G0003,64,1848,405,206
393,C1G0003,65,1304,380,181
394,C1G0003,66,1337,392,185
395,C1G0003,67,1251,437,159
396,C1G0003,68,7281,416,646
397,C1G0003,69,1541,463,221
398,C1G0003,70,1291,466,165
399,C1G0003,71,2701,409,177
400,C1G0003,72,1888,364,186
401,C1G0003,73,3025,407,717
402,C1G0003,74,1906,498,300
403,C1G0003,75,3288,450,323
404,C1G0003,76,1772,473,213
405,C1G0003,77,1677,444,324
406,C1G0003,78,2344,471,299
407,C1G0003,79,1054,413,199
408,C1G0003,80,1578,405,837
409,C1G0003,81,1353,422,190
410,C1G0003,82,1409,468,246
411,C1G0003,83,1121,435,154
412,C1G0003,84,4031,358,453
413,C1G0003,85,1517,419,186
414,C1G0003,86,1405,433,193
415,C1G0003,87,1440,425,197
416,C1G0003,88,1495,395,235
417,C1G0003,89,1667,466,204
418,C1G0003,90,2852,456,173
419,C1G0003,91,1850,414,196
420,C1G0003,92,3287,426,848
421,C1G0003,93,2191,498,186
422,C1G0003,94,1714,407,192
423,C1G0003,95,1541,417,379
424,C1G0003,96,4501,393,211
425,C1G0003,97,6532,453,189
426,C1G0003,98,2764,420,184
427,C1G0003,99,3595,450,195
428,C1G0003,100,1536,435,208
429,C1G0003,101,1960,409,194
430,C1G0003,102,4657,528,211
431,C1G0003,103,1450,456,159
432,C1G0003,104,6745,492,761
433,C1G0003,105,6051,447,439
434,C1G0003,106,4155,480,170
435,C1G0003,107,1467,467,180
436,C1G0003,108,8341,504,555
437,C1G0003,109,2004,438,189
438,C1G0003,110,3850,397,153
439,C1G0003,111,5090,519,209
440,C1G0003,112,3532,411,198
441,C1G0003,113,2284,461,179
442,C1G0003,114,3766,462,203
443,C1G0003,115,2694,511,191
444,C1G0003,116,5240,720,1533
445,C1G0003,117,1678,410,178
446,C1G0003,118,3607,476,264
447,C1G0003,119,3272,474,210
448,C1G0003,120,13752,393,549
449,C1G0003,121,1626,400,201
450,C1G0003,122,1971,527,164
451,C1G0003,123,16368,456,362
452,C1G0003,124,2303,382,222
453,C1G0003,125,2286,500,194
454,C1G0003,126,1972,383,166
455,C1G0003,127,2427,405,211
456,C1G0003,128,4057,427,202
457,C1G0003,129,1802,387,231
458,C1G0003,130,4512,346,676
459,C1G0003,131,5436,561,189
460,C1G0003,132,1634,426,379
461,C1G0003,133,2909,459,175
462,C1G0003,134,2082,424,152
463,C1G0003,135,3518,411,148
464,C1G0003,136,2066,410,211
465,C1G0003,137,1862,373,210
466,C1G0003,138,6036,486,205
467,C1G0003,139,19610,432,199
468,C1G0003,140,5903,396,176
469,C1G0003,141,9486,448,209
470,C1G0003,142,2641,429,199
471,C1G0003,143,2687,418,281
472,C1G0003,144,1014,385,138
473,C1G0003,145,4055,357,160
474,C1G0003,146,1793,427,328
475,C1G0003,147,1808,385,173
