ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
16,262,C1G0001,Matching To Sample,22,0,1.23,ARES_JSC1,1,1.27,22,9/18/2004,2:06:26 AM,148,10,9,1,0,0,11,2037,4170,2251,833,0,1035,1895,4170,4170,23,5,5,0,0,0,7,2094,NA,2094,1142,NA,1142,1505,NA,NA,28,5,4,1,0,0,4,1967,4170,2408,316,0,1022,2090,4170,4170,19,0,0,0,0,0,NA
17,277,C1G0001,Matching To Sample,23,0,1.23,ARES_JSC1,1,1.27,23,9/18/2004,2:13:24 AM,140,10,9,1,0,0,11,1561,1620,1567,687,0,648,1230,1620,1620,34,5,5,0,0,0,7,1256,NA,1256,241,NA,241,1195,NA,NA,47,5,4,1,0,0,4,1942,1620,1878,912,0,803,1660,1620,1620,25,0,0,0,0,0,NA
18,283,C1G0001,Matching To Sample,24,0,1.23,ARES_JSC1,1,1.27,24,9/18/2004,2:18:30 AM,139,10,9,1,0,0,11,1542,2190,1607,577,0,582,1255,2190,2190,33,5,4,1,0,0,7,1940,2190,1990,688,0,606,1850,2190,2190,24,5,5,0,0,0,4,1224,NA,1224,165,NA,165,1135,NA,NA,49,0,0,0,0,0,NA
19,295,C1G0001,Matching To Sample,25,0,1.23,ARES_JSC1,1,1.27,25,9/19/2004,2:08:29 AM,137,10,10,0,0,0,11,1582,NA,1582,576,NA,576,1715,NA,NA,37,5,5,0,0,0,7,1496,NA,1496,495,NA,495,1370,NA,NA,40,5,5,0,0,0,4,1668,NA,1668,696,NA,696,1515,NA,NA,35,0,0,0,0,0,NA
20,298,C1G0001,Matching To Sample,26,0,1.23,ARES_JSC1,1,1.27,26,9/19/2004,2:12:18 AM,150,10,8,2,0,0,11,1457,2855,1737,445,671,742,1375,2855,2855,27,5,4,1,0,0,7,1635,3330,1974,580,0,909,1425,3330,3330,24,5,4,1,0,0,4,1280,2380,1500,203,0,522,1320,2380,2380,32,0,0,0,0,0,NA
21,307,C1G0001,Matching To Sample,27,0,1.23,ARES_JSC1,1,1.27,27,9/19/2004,2:18:14 AM,141,10,10,0,0,0,11,1533,NA,1533,467,NA,467,1545,NA,NA,39,5,5,0,0,0,7,1540,NA,1540,656,NA,656,1285,NA,NA,38,5,5,0,0,0,4,1526,NA,1526,244,NA,244,1455,NA,NA,39,0,0,0,0,0,NA
22,322,C1G0001,Matching To Sample,28,0,1.23,ARES_JSC1,1,1.27,28,9/21/2004,2:19:01 AM,137,10,8,2,0,0,11,1562,1450,1540,395,424,379,1515,1450,1450,31,5,5,0,0,0,7,1788,NA,1788,311,NA,311,1775,NA,NA,33,5,3,2,0,0,4,1186,1450,1292,113,424,268,1140,1450,1450,27,0,0,0,0,0,NA
23,328,C1G0001,Matching To Sample,29,0,1.23,ARES_JSC1,1,1.27,29,9/22/2004,2:06:25 AM,141,10,8,2,0,0,11,1663,2660,1863,977,410,968,1305,2660,2660,25,5,5,0,0,0,7,1118,NA,1118,263,NA,263,1120,NA,NA,53,5,3,2,0,0,4,2573,2660,2608,1105,410,809,2155,2660,2660,13,0,0,0,0,0,NA
24,334,C1G0001,Matching To Sample,30,0,1.23,ARES_JSC1,1,1.27,30,9/22/2004,2:12:21 AM,144,10,10,0,0,0,11,1478,NA,1478,641,NA,641,1210,NA,NA,40,5,5,0,0,0,7,1206,NA,1206,50,NA,50,1175,NA,NA,49,5,5,0,0,0,4,1750,NA,1750,859,NA,859,1210,NA,NA,34,0,0,0,0,0,NA
25,351,C1G0001,Matching To Sample,31,0,1.23,ARES_JSC1,1,1.27,31,9/22/2004,2:19:12 AM,156,10,10,0,0,0,11,1497,NA,1497,686,NA,686,1125,NA,NA,40,5,5,0,0,0,7,1274,NA,1274,529,NA,529,1075,NA,NA,47,5,5,0,0,0,4,1720,NA,1720,810,NA,810,1420,NA,NA,34,0,0,0,0,0,NA
