ID,Subject,Test,Matching To Sample,Running Memory,Simple Reaction Time
1,C1G0002,1,2282,590,299
2,C1G0002,2,1301,564,290
3,C1G0002,3,1515,586,327
4,C1G0002,4,1501,577,330
5,C1G0002,5,1403,532,305
6,C1G0002,6,1088,544,357
7,C1G0002,7,1702,588,284
8,C1G0002,8,1607,564,302
9,C1G0002,9,1097,456,252
10,C1G0002,10,2533,608,264
11,C1G0002,11,1223,522,266
12,C1G0002,12,1336,479,277
13,C1G0002,13,1332,540,259
14,C1G0002,14,1438,561,253
15,C1G0002,15,1261,527,232
16,C1G0002,16,1557,538,271
17,C1G0002,17,1260,529,231
18,C1G0002,18,1101,492,218
19,C1G0002,19,1783,536,265
20,C1G0002,20,1242,501,214
21,C1G0002,21,1233,450,265
22,C1G0002,22,1502,504,227
23,C1G0002,23,1466,501,248
24,C1G0002,24,1456,479,257
25,C1G0002,25,1133,516,263
26,C1G0002,26,1138,475,234
27,C1G0002,27,1431,433,202
28,C1G0002,28,1466,446,228
29,C1G0002,29,1234,492,242
30,C1G0002,30,1478,483,220
31,C1G0002,31,2896,519,556
32,C1G0002,32,1468,437,225
33,C1G0002,33,1230,445,244
34,C1G0002,34,1172,478,224
35,C1G0002,35,1403,490,251
36,C1G0002,36,1485,469,235
37,C1G0002,37,1133,461,306
38,C1G0002,38,1397,471,222
39,C1G0002,39,1092,471,222
40,C1G0002,40,1234,434,228
41,C1G0002,41,1612,488,239
42,C1G0002,42,1018,467,216
43,C1G0002,43,1316,447,227
44,C1G0002,44,1312,469,233
45,C1G0002,45,1173,473,223
46,C1G0002,46,1105,435,242
47,C1G0002,47,1417,457,236
48,C1G0002,48,1526,459,246
49,C1G0002,49,1489,419,236
50,C1G0002,50,1401,394,236
51,C1G0002,51,1367,436,243
52,C1G0002,52,1456,444,245
53,C1G0002,53,1281,465,344
54,C1G0002,54,1146,424,235
55,C1G0002,55,1312,426,225
56,C1G0002,56,1454,480,259
57,C1G0002,57,1499,450,237
58,C1G0002,58,1288,467,233
59,C1G0002,59,1342,466,200
60,C1G0002,60,950,420,174
61,C1G0002,61,1372,462,204
62,C1G0002,62,1133,470,275
63,C1G0002,63,1096,449,230
64,C1G0002,64,1805,456,199
65,C1G0002,65,928,426,217
66,C1G0002,66,1081,401,183
67,C1G0002,67,1037,417,195
68,C1G0002,68,1308,441,185
69,C1G0002,69,1078,424,184
70,C1G0002,70,1235,451,192
71,C1G0002,71,1197,448,228
72,C1G0002,72,1315,454,203
73,C1G0002,73,1192,466,202
74,C1G0002,74,1246,447,203
75,C1G0002,75,1384,460,195
76,C1G0002,76,1060,430,194
77,C1G0002,77,1212,468,249
78,C1G0002,78,1122,419,229
79,C1G0002,79,1252,465,223
80,C1G0002,80,1193,477,278
81,C1G0002,81,1321,465,259
82,C1G0002,82,1312,450,218
83,C1G0002,83,1253,459,254
84,C1G0002,84,1414,501,249
85,C1G0002,85,933,455,206
86,C1G0002,86,946,448,262
87,C1G0002,87,1414,437,212
88,C1G0002,88,1470,437,218
89,C1G0002,89,1546,445,216
90,C1G0002,90,1111,467,339
91,C1G0002,91,1456,432,229
92,C1G0002,92,1372,438,204
93,C1G0002,93,1331,468,238
94,C1G0002,94,1578,441,204
95,C1G0002,95,1329,443,259
96,C1G0002,96,1325,439,226
97,C1G0002,97,1260,432,312
98,C1G0002,98,1149,448,230
99,C1G0002,99,1293,492,259
100,C1G0002,100,1426,442,242
101,C1G0002,101,1160,470,268
102,C1G0002,102,1142,414,219
103,C1G0002,103,1005,373,231
104,C1G0002,104,1245,468,262
105,C1G0002,105,1278,433,210
106,C1G0002,106,1474,402,193
107,C1G0002,107,1550,437,233
108,C1G0002,108,1040,424,231
109,C1G0002,109,1312,414,213
110,C1G0002,110,1210,434,229
111,C1G0002,111,1351,451,214
112,C1G0002,112,1688,451,230
113,C1G0002,113,1113,452,216
114,C1G0002,114,1463,462,237
115,C1G0002,115,1097,422,202
116,C1G0002,116,1101,455,246
117,C1G0002,117,1155,444,215
118,C1G0002,118,1430,442,208
119,C1G0002,119,1116,452,214
120,C1G0002,120,1454,465,224
121,C1G0002,121,1065,441,236
122,C1G0002,122,981,475,222
123,C1G0002,123,1332,449,224
124,C1G0002,124,1726,468,255
125,C1G0002,125,1364,429,226
126,C1G0002,126,1016,475,231
127,C1G0002,127,1331,426,238
128,C1G0002,128,1696,459,210
129,C1G0002,129,1093,479,208
130,C1G0002,130,1281,491,270
131,C1G0002,131,1221,409,242
132,C1G0002,132,1482,439,226
133,C1G0002,133,1192,462,225
134,C1G0002,134,1502,469,233
135,C1G0002,135,1374,436,221
136,C1G0002,136,1253,437,259
137,C1G0002,137,852,456,251
138,C1G0002,138,1224,430,242
139,C1G0002,139,1304,469,255
140,C1G0002,140,1300,459,248
141,C1G0002,141,1391,456,244
142,C1G0002,142,1525,461,257
143,C1G0002,143,1155,464,224
144,C1G0002,144,2035,433,227
145,C1G0002,145,1421,462,210
146,C1G0002,146,1562,439,235
147,C1G0002,147,1480,447,235
148,C1G0002,148,1485,421,262
149,C1G0002,149,1333,443,226
150,C1G0002,150,1181,443,224
151,C1G0002,151,1072,470,196
152,C1G0002,152,1333,437,275
153,C1G0002,153,1201,467,241
154,C1G0002,154,1163,447,282
155,C1G0002,155,1316,471,243
156,C1G0002,156,1572,417,250
157,C1G0002,157,1067,463,245
158,C1G0002,158,1550,415,305
159,C1G0002,159,1129,483,224
160,C1G0002,160,1495,427,209
161,C1G0002,161,1168,443,228
162,C1G0002,162,1188,421,252
163,C1G0002,163,1232,416,219
