ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Start_Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
1,127,C1G0003,Matching To Sample,7,0,1.23,ARES_JSC1,1,1.27,7,2020-09-13,09:35,155,10,9,1,0,0,11,1604,18860,3330,547,0,5481,1450,18860,18860,16,5,5,0,0,0,7,1520,NA,1520,312,NA,312,1410,NA,NA,39,5,4,1,0,0,4,1710,18860,5140,801,0,7701,1450,18860,18860,9,0,0,0,0,0,NA
2,142,C1G0003,Matching To Sample,8,0,1.23,ARES_JSC1,1,1.27,8,2020-09-13,13:42,145,10,10,0,0,0,11,2050,NA,2050,569,NA,569,2020,NA,NA,29,5,5,0,0,0,7,2084,NA,2084,696,NA,696,1835,NA,NA,28,5,5,0,0,0,4,2016,NA,2016,492,NA,492,1840,NA,NA,29,0,0,0,0,0,NA
3,148,C1G0003,Matching To Sample,9,0,1.23,ARES_JSC1,1,1.27,9,2020-09-13,18:37,151,10,10,0,0,0,11,2585,NA,2585,1267,NA,1267,2405,NA,NA,23,5,5,0,0,0,7,2906,NA,2906,1686,NA,1686,2405,NA,NA,20,5,5,0,0,0,4,2264,NA,2264,715,NA,715,1980,NA,NA,26,0,0,0,0,0,NA
4,157,C1G0003,Matching To Sample,10,0,1.23,ARES_JSC1,1,1.27,10,2020-09-14,06:43,149,10,9,1,0,0,11,2260,3940,2428,636,0,801,2020,3940,3940,22,5,4,1,0,0,7,2252,3940,2590,499,0,870,2020,3940,3940,18,5,5,0,0,0,4,2266,NA,2266,789,NA,789,2025,NA,NA,26,0,0,0,0,0,NA
5,163,C1G0003,Matching To Sample,11,0,1.23,ARES_JSC1,1,1.27,11,2020-09-14,12:56,153,10,10,0,0,0,11,2307,NA,2307,1028,NA,1028,2010,NA,NA,26,5,5,0,0,0,7,2506,NA,2506,1479,NA,1479,1870,NA,NA,23,5,5,0,0,0,4,2108,NA,2108,304,NA,304,2010,NA,NA,28,0,0,0,0,0,NA
6,172,C1G0003,Matching To Sample,12,0,1.23,ARES_JSC1,1,1.27,12,2020-09-14,18:14,143,10,10,0,0,0,11,1905,NA,1905,589,NA,589,1980,NA,NA,31,5,5,0,0,0,7,1966,NA,1966,710,NA,710,1910,NA,NA,30,5,5,0,0,0,4,1844,NA,1844,516,NA,516,1740,NA,NA,32,0,0,0,0,0,NA
7,187,C1G0003,Matching To Sample,13,0,1.23,ARES_JSC1,1,1.27,13,2020-09-15,06:47,149,10,10,0,0,0,11,2399,NA,2399,977,NA,977,2120,NA,NA,25,5,5,0,0,0,7,2364,NA,2364,700,NA,700,1965,NA,NA,25,5,5,0,0,0,4,2434,NA,2434,1286,NA,1286,1900,NA,NA,24,0,0,0,0,0,NA
8,196,C1G0003,Matching To Sample,14,0,1.23,ARES_JSC1,1,1.27,14,2020-09-15,15:31,150,10,9,1,0,0,11,1964,4770,2245,402,0,965,1875,4770,4770,24,5,5,0,0,0,7,2082,NA,2082,497,NA,497,2040,NA,NA,28,5,4,1,0,0,4,1817,4770,2408,226,0,1334,1775,4770,4770,19,0,0,0,0,0,NA
9,205,C1G0003,Matching To Sample,15,0,1.23,ARES_JSC1,1,1.27,15,2020-09-15,19:06,145,10,10,0,0,0,11,1984,NA,1984,524,NA,524,1995,NA,NA,30,5,5,0,0,0,7,2058,NA,2058,265,NA,265,1995,NA,NA,29,5,5,0,0,0,4,1910,NA,1910,730,NA,730,1585,NA,NA,31,0,0,0,0,0,NA
10,214,C1G0003,Matching To Sample,16,0,1.23,ARES_JSC1,1,1.27,16,2020-09-16,06:54,145,10,10,0,0,0,11,1984,NA,1984,988,NA,988,1700,NA,NA,30,5,5,0,0,0,7,1688,NA,1688,630,NA,630,1420,NA,NA,35,5,5,0,0,0,4,2280,NA,2280,1257,NA,1257,1860,NA,NA,26,0,0,0,0,0,NA
11,217,C1G0003,Matching To Sample,17,0,1.23,ARES_JSC1,1,1.27,17,2020-09-16,12:12,143,10,10,0,0,0,11,1650,NA,1650,354,NA,354,1580,NA,NA,36,5,5,0,0,0,7,1524,NA,1524,295,NA,295,1430,NA,NA,39,5,5,0,0,0,4,1776,NA,1776,395,NA,395,1550,NA,NA,33,0,0,0,0,0,NA
12,226,C1G0003,Matching To Sample,18,0,1.23,ARES_JSC1,1,1.27,18,2020-09-16,18:22,141,10,10,0,0,0,11,1397,NA,1397,387,NA,387,1270,NA,NA,42,5,5,0,0,0,7,1448,NA,1448,550,NA,550,1200,NA,NA,41,5,5,0,0,0,4,1346,NA,1346,166,NA,166,1255,NA,NA,44,0,0,0,0,0,NA
13,241,C1G0003,Matching To Sample,19,0,1.23,ARES_JSC1,1,1.27,19,2020-09-17,06:38,155,10,10,0,0,0,11,2382,NA,2382,1803,NA,1803,1890,NA,NA,25,5,5,0,0,0,7,1836,NA,1836,195,NA,195,1785,NA,NA,32,5,5,0,0,0,4,2928,NA,2928,2556,NA,2556,1865,NA,NA,20,0,0,0,0,0,NA
14,250,C1G0003,Matching To Sample,20,0,1.23,ARES_JSC1,1,1.27,20,2020-09-17,12:50,149,10,9,1,0,0,11,1786,4450,2053,552,0,990,1580,4450,4450,26,5,5,0,0,0,7,1466,NA,1466,339,NA,339,1285,NA,NA,40,5,4,1,0,0,4,2187,4450,2640,522,0,1108,2340,4450,4450,18,0,0,0,0,0,NA
15,253,C1G0003,Matching To Sample,21,0,1.23,ARES_JSC1,1,1.27,21,2020-09-17,19:06,143,10,10,0,0,0,11,1696,NA,1696,464,NA,464,1555,NA,NA,35,5,5,0,0,0,7,1862,NA,1862,463,NA,463,1640,NA,NA,32,5,5,0,0,0,4,1530,NA,1530,450,NA,450,1325,NA,NA,39,0,0,0,0,0,NA
16,268,C1G0003,Matching To Sample,22,0,1.23,ARES_JSC1,1,1.27,22,2020-09-18,06:54,149,10,10,0,0,0,11,2207,NA,2207,835,NA,835,2100,NA,NA,27,5,5,0,0,0,7,2166,NA,2166,423,NA,423,2100,NA,NA,27,5,5,0,0,0,4,2248,NA,2248,1178,NA,1178,1585,NA,NA,26,0,0,0,0,0,NA
17,274,C1G0003,Matching To Sample,23,0,1.23,ARES_JSC1,1,1.27,23,2020-09-18,13:07,141,10,10,0,0,0,11,1821,NA,1821,688,NA,688,1525,NA,NA,32,5,5,0,0,0,7,1738,NA,1738,748,NA,748,1420,NA,NA,34,5,5,0,0,0,4,1904,NA,1904,699,NA,699,1540,NA,NA,31,0,0,0,0,0,NA
18,286,C1G0003,Matching To Sample,24,0,1.23,ARES_JSC1,1,1.27,24,2020-09-18,21:55,143,10,10,0,0,0,11,1907,NA,1907,362,NA,362,2010,NA,NA,31,5,5,0,0,0,7,1918,NA,1918,318,NA,318,1865,NA,NA,31,5,5,0,0,0,4,1896,NA,1896,440,NA,440,1940,NA,NA,31,0,0,0,0,0,NA
19,292,C1G0003,Matching To Sample,25,0,1.23,ARES_JSC1,1,1.27,25,2020-09-19,08:07,150,10,10,0,0,0,11,2331,NA,2331,1116,NA,1116,1855,NA,NA,25,5,5,0,0,0,7,2234,NA,2234,1297,NA,1297,1485,NA,NA,26,5,5,0,0,0,4,2428,NA,2428,1048,NA,1048,1855,NA,NA,24,0,0,0,0,0,NA
20,301,C1G0003,Matching To Sample,26,0,1.23,ARES_JSC1,1,1.27,26,2020-09-19,12:27,145,10,9,1,0,0,11,1814,4450,2078,645,0,1032,1395,4450,4450,25,5,5,0,0,0,7,1614,NA,1614,604,NA,604,1360,NA,NA,37,5,4,1,0,0,4,2065,4450,2542,688,0,1221,2180,4450,4450,18,0,0,0,0,0,NA
21,313,C1G0003,Matching To Sample,27,0,1.23,ARES_JSC1,1,1.27,27,2020-09-19,18:30,155,10,10,0,0,0,11,2297,NA,2297,435,NA,435,2320,NA,NA,26,5,5,0,0,0,7,2400,NA,2400,533,NA,533,2380,NA,NA,25,5,5,0,0,0,4,2194,NA,2194,341,NA,341,2155,NA,NA,27,0,0,0,0,0,NA
