ID,Period Covered,Statistic,Left Ventricular Outflow Tract Diameter 1,RVD,IVS,LVDD,LVPWD,IVSS,LVDS,LVPWS,PAT,PET,ME,MA,MDT,AWD,IVCT,ET,IVRT,Aortic Valve Close Open 1,PVS,PVD,AWR,Tricuspid E Velocity 1,Tricuspid A Velocity 1,Tricuspid Regurgitation 1,TS',TE',TA',RHR,BSS',BSE',BSA',MS',ME',MA',LHR,CMM,LVOT,Endo area,Epi area,A4 length,LAP,PCWP,RAP,L MPI,Vcf,FS,Am,t,LVM,LV vol,EF pre,SV pre,CO pre,ME/A,ME/E',ME'/A',MPAP,TE/A,TE/E',TE'/A',SBP,DBP,WS
27,BR+0 4hrs,STANDARD DEVIATION,NA,0.43,0.12,0.21,0.10,0.22,0.62,0.18,20.30,46.34,10.42,14.37,42.84,18.44,9.15,13.24,14.34,25.19,7.40,6.51,7.36,8.58,10.42,36.52,0.95,3.28,5.56,3.80,0.88,0.71,2.05,1.14,2.56,1.43,8.89,10.71,1.29,3.85,8.38,0.58,0.78,1.70,4.41,0.10,0.20,3.89,4.61,0.18,47.98,33.17,5.19,4.22,2.74,0.19,0.63,0.47,9.14,0.29,2.51,0.27,0.00,0.00,8.99
28,BR+3,AVERAGE,NA,2.09,1.05,4.78,0.97,1.54,2.76,1.62,150.82,325.00,68.68,54.31,184.31,121.78,53.26,285.41,76.42,407.79,52.16,46.76,97.07,58.81,42.26,199.96,13.44,13.46,11.87,46.42,8.71,10.98,8.77,11.47,15.07,8.52,63.99,50.21,17.17,16.58,31.84,8.05,7.86,10.87,10.02,0.46,1.50,42.33,15.26,0.88,134.02,112.42,73.03,78.96,5.25,1.31,4.81,1.88,11.13,1.44,4.70,1.16,69.22,106.44,39.98
29,BR+3,STANDARD DEVIATION,NA,0.39,0.25,0.59,0.26,0.25,0.42,0.21,36.92,32.91,15.43,13.92,45.69,16.36,19.46,30.42,9.71,37.37,14.15,8.25,22.36,9.21,10.41,25.13,1.53,3.36,1.94,20.67,1.44,2.23,1.70,1.57,3.67,1.90,24.08,13.66,9.87,3.48,6.99,0.58,1.97,2.17,3.20,0.12,0.27,4.83,4.64,0.22,47.20,30.21,5.83,23.86,2.97,0.34,1.59,0.64,16.61,0.28,1.20,0.34,5.74,10.58,8.80
30,BR+3,STANDARD ERROR,NA,0.07,0.02,0.12,0.04,0.05,0.10,0.03,9.98,6.74,3.22,2.17,7.77,2.41,5.10,7.18,2.37,9.73,2.87,2.22,5.43,2.11,1.29,22.30,0.29,0.57,0.48,1.95,0.16,0.45,0.36,0.14,0.57,0.30,2.25,1.26,NA,0.45,0.71,0.15,0.19,0.29,0.31,0.03,0.04,0.74,0.86,0.04,8.77,5.61,1.08,4.43,0.55,0.06,0.30,0.12,3.08,0.05,0.22,0.06,1.07,1.97,1.63
31,BR+10 to BR+13,AVERAGE,NA,1.78,0.93,5.05,0.87,1.38,3.03,1.52,132.64,305.40,78.23,58.91,141.99,110.07,41.29,292.99,69.07,406.48,56.58,47.95,105.10,58.48,46.88,204.12,13.27,13.87,13.62,44.96,8.22,12.12,9.14,11.37,15.20,8.73,64.89,54.59,20.51,17.74,35.47,7.92,8.77,11.32,10.01,0.38,1.37,40.13,17.73,0.98,154.22,117.26,70.28,84.97,6.91,1.35,5.77,1.77,19.31,1.30,4.03,1.08,66.29,102.43,44.96
32,BR+10 to BR+13,STANDARD DEVIATION,NA,0.32,0.19,0.37,0.22,0.32,0.40,0.23,12.99,28.34,8.87,10.41,17.69,19.50,15.12,7.90,12.72,27.00,11.75,5.35,12.41,18.52,18.20,19.76,1.35,2.16,4.88,21.51,0.44,1.93,2.02,1.71,4.44,1.45,28.99,12.72,3.46,1.85,4.54,0.40,2.12,2.06,2.33,0.06,0.18,4.57,3.06,0.12,32.48,15.66,5.89,12.62,1.05,0.20,1.93,0.57,5.85,0.22,0.72,0.38,0.49,5.86,5.53
33,BR+10 to BR+13,STANDARD ERROR,NA,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.38,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,BR+30,AVERAGE,NA,2.22,0.91,5.02,0.86,1.38,3.03,1.48,153.79,313.35,74.76,51.52,167.45,114.30,42.99,281.47,71.31,394.95,55.55,54.24,95.19,57.21,38.81,242.96,13.85,14.63,12.55,52.09,9.28,13.14,9.51,12.31,17.07,10.00,70.75,56.16,20.69,18.33,34.25,8.01,7.42,10.99,9.72,0.41,1.41,39.63,16.39,0.90,142.83,127.30,70.25,86.63,5.94,1.52,4.45,1.79,8.21,1.57,4.11,1.26,66.00,99.00,47.09
35,BR+30,STANDARD DEVIATION,NA,0.44,0.13,0.34,0.14,0.14,0.30,0.20,21.68,34.90,15.56,10.13,23.50,10.03,9.24,19.68,13.45,27.80,11.27,11.29,11.95,11.04,10.90,20.91,1.42,3.57,2.94,24.40,1.83,3.34,1.73,2.80,3.25,2.33,21.48,16.62,2.87,3.47,5.26,0.72,1.17,3.19,2.08,0.05,0.17,3.81,2.97,0.15,28.54,30.38,4.56,9.45,2.04,0.38,1.00,0.53,8.87,0.35,1.26,0.28,0.00,0.00,6.82
36,BR+30,STANDARD ERROR,NA,0.06,0.01,0.05,0.02,0.02,0.06,0.04,4.84,5.80,3.93,2.27,4.08,2.08,1.92,3.06,2.59,2.58,2.72,2.70,2.28,2.30,1.74,23.33,0.30,0.60,0.56,2.50,0.23,0.43,0.21,0.62,0.64,0.26,2.71,1.48,0.43,0.57,0.52,0.08,0.25,0.60,0.32,0.01,NA,NA,0.52,0.02,5.46,5.48,0.76,1.77,0.28,0.07,0.17,0.07,1.71,0.07,0.21,0.05,NA,NA,NA
