term,coefficient,std_error,z_value,p_value,ci_lower,ci_upper
Intercept,1.4188500190929306e-13,8057914.530785857,1.7608154239811174e-20,1.0,-15793222.270842249,15793222.270842249
Test_Phase[T.POST_TEST],-0.9227516495315372,2.4187347887815815,-0.38150178920458083,0.7028309438255754,-5.663384723697532,3.8178814246344577
Test_Phase[T.PRE_TEST],7.445849410027392,5.706665673739572,1.3047635582177246,0.19197337155908767,-3.73900978231317,18.630708602367953
BR_Day,-0.14466585162132112,0.037121497052751085,-3.8970909878916076,9.735504985934501e-05,-0.217422648896923,-0.07190905434571923
any_sleep_med,-3.3740069921934674,1.8235946009289163,-1.8501957564881966,0.06428534036624954,-6.948186732415836,0.20017274802890128
Group Var,0.0,,,,,
